Name,Email,Location,Job Title,Job Type,Education,Years of Experience,Employment Type,Practice Size,Area Type,Need Sponsorship,English Proficiency,Annual Salary,Daily Rate,Daily Rate Details,% Production,Details on % Production,% Collection,Details on % Collection,Signing Bonus,Relocation Bonus
Alyssa Knapp,booneedward@example.org,"Houston, TX",Pedodontist,Private Practice,DDS with Specialization,6,Contract,Medium,Rural,True,Basic,128154.34,471.16,Guaranteed,10.0,The production details,50.0,,,2000.0
Samantha Hall,douglassmith@example.net,"Chicago, IL",Endodontist,Private Practice,DDS with Specialization,20,Full-time,Large,Rural,False,Native,108404.7,398.55,Draw,30.0,The production details,,The collection details,,
Susan Martin,tonyking@example.com,"Phoenix, AZ",Orthodontist,DSO,DDS with Specialization,29,Temporary,Large,Rural,True,Basic,148887.71,547.38,Draw - Term More than 1 year,10.0,,40.0,The collection details,,4000.0
Lauren Walters,tmurray@example.net,"Chicago, IL",Pedodontist,DSO,DDS with Specialization,30,Full-time,Large,Urban,False,Fluent,88631.08,325.85,Draw - Term Less than 1 year,,,10.0,,10000.0,6000.0
Rebecca Watson,smithlisa@example.com,"Houston, TX",Endodontist,Private Practice,DMD,13,Contract,Small,Rural,False,Native,126788.74,466.14,Draw - Term More than 1 year,20.0,,20.0,,10000.0,4000.0
Jessica Thomas,rdickerson@example.com,"Houston, TX",Pedodontist,Private Practice,DDS with Specialization,13,Contract,Large,Urban,True,Native,148826.39,547.16,Draw - Term Less than 1 year,10.0,The production details,,,10000.0,4000.0
Sandra Jones,christopher07@example.com,"Houston, TX",Pedodontist,Private Practice,DDS with Specialization,20,Contract,Small,Rural,False,Native,142939.35,525.51,Draw - Term More than 1 year,20.0,The production details,15.0,,5000.0,
Parker Barron,stevenschristopher@example.org,"Chicago, IL",General Dentist,DSO,DMD with Specialization,15,Temporary,Small,Rural,False,Proficient,146909.43,540.11,Draw - Term Less than 1 year,25.0,The production details,15.0,,10000.0,6000.0
Mark Smith,maria96@example.com,"Chicago, IL",General Dentist,Private Practice,DDS,1,Temporary,Large,Urban,False,Proficient,131128.6,482.09,Draw - Term More than 1 year,25.0,,25.0,,15000.0,4000.0
Carrie Hall,hpark@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DDS,0,Full-time,Large,Urban,False,Proficient,147876.51,543.66,Draw - Term Less than 1 year,15.0,,30.0,,10000.0,4000.0
Lauren Curtis,sarah77@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,12,Part-time,Large,Urban,False,Fluent,95769.71,352.09,Guaranteed,40.0,The production details,25.0,,,2000.0
Michael Wagner,stewartmichael@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DMD with Specialization,18,Part-time,Medium,Urban,False,Fluent,119331.01,438.72,Draw - Term Less than 1 year,10.0,,30.0,,,4000.0
Brian Clark,uhanson@example.net,"Los Angeles, CA",Endodontist,Private Practice,DMD,26,Temporary,Large,Urban,True,Fluent,98607.18,362.53,Draw,10.0,,15.0,,5000.0,2000.0
Brian Frost,jacob81@example.net,"Houston, TX",Periodontist,DSO,DDS,10,Part-time,Medium,Urban,True,Proficient,119454.18,439.17,Draw - Term More than 1 year,20.0,,20.0,,10000.0,4000.0
Eric Wright,hvega@example.com,"New York, NY",Periodontist,Private Practice,DDS with Specialization,29,Temporary,Large,Rural,True,Fluent,102197.38,375.73,Draw - Term More than 1 year,,,,,10000.0,4000.0
Steven Campbell,david40@example.org,"Chicago, IL",Periodontist,DSO,DMD with Specialization,1,Full-time,Large,Urban,True,Proficient,110485.84,406.2,Draw,,The production details,10.0,,5000.0,4000.0
Glenda Rodriguez,qferrell@example.com,"New York, NY",General Dentist,Private Practice,DMD with Specialization,3,Temporary,Medium,Rural,True,Proficient,116359.17,427.79,Draw - Term Less than 1 year,40.0,The production details,30.0,,15000.0,4000.0
Hayley Martinez,lcervantes@example.org,"Chicago, IL",Pedodontist,DSO,DDS,27,Full-time,Large,Urban,True,Native,88121.34,323.98,Guaranteed,,,,,5000.0,
Christopher Lee,lopezjulie@example.net,"Phoenix, AZ",Endodontist,Private Practice,DDS,5,Temporary,Medium,Rural,False,Native,81335.13,299.03,Draw - Term More than 1 year,25.0,The production details,20.0,The collection details,15000.0,
Ashley Maldonado,valerie80@example.net,"Houston, TX",Endodontist,Private Practice,DDS with Specialization,3,Full-time,Medium,Rural,False,Proficient,89238.66,328.08,Guaranteed,50.0,,,,,
Brittany Miles,dlane@example.com,"Los Angeles, CA",Pedodontist,DSO,DMD,28,Contract,Medium,Rural,False,Fluent,116019.97,426.54,Draw,15.0,,30.0,The collection details,15000.0,
Bianca Robinson,amber36@example.com,"Los Angeles, CA",Endodontist,Private Practice,DDS,20,Part-time,Small,Rural,False,Basic,104437.76,383.96,Guaranteed,,,30.0,,15000.0,6000.0
Lorraine Conley,valenciabeth@example.com,"Chicago, IL",Orthodontist,Private Practice,DDS with Specialization,11,Part-time,Small,Urban,True,Fluent,148431.7,545.7,Draw - Term Less than 1 year,,,15.0,The collection details,,
Jessica Harper,zhebert@example.com,"Phoenix, AZ",Endodontist,Private Practice,DDS,27,Part-time,Small,Urban,True,Proficient,140507.12,516.57,Draw - Term Less than 1 year,,,30.0,,5000.0,4000.0
James James,carterjulia@example.com,"Los Angeles, CA",General Dentist,DSO,DMD,16,Full-time,Large,Urban,False,Proficient,82044.66,301.63,Draw,10.0,,,,,6000.0
Danny Evans,longsteven@example.org,"Los Angeles, CA",Periodontist,Private Practice,DDS with Specialization,19,Part-time,Large,Urban,False,Proficient,105621.96,388.32,Draw - Term More than 1 year,10.0,,,The collection details,5000.0,6000.0
Sherri Lee,maylisa@example.org,"Chicago, IL",General Dentist,Private Practice,DDS with Specialization,5,Full-time,Medium,Urban,False,Basic,146328.65,537.97,Guaranteed,,,40.0,,15000.0,6000.0
Denise Odonnell,donna14@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DMD,2,Contract,Small,Rural,True,Proficient,96178.92,353.6,Draw - Term More than 1 year,25.0,,20.0,The collection details,,4000.0
Tracy Williams,megan36@example.org,"Los Angeles, CA",Periodontist,Private Practice,DMD,30,Full-time,Medium,Rural,True,Proficient,93107.07,342.31,Guaranteed,10.0,,,,10000.0,2000.0
Tammy Pena,milesgary@example.net,"Houston, TX",Periodontist,Private Practice,DDS,24,Full-time,Small,Urban,False,Proficient,149127.38,548.26,Draw - Term Less than 1 year,,,15.0,,15000.0,2000.0
Amber Cook,mwashington@example.com,"New York, NY",Endodontist,DSO,DDS,8,Full-time,Small,Urban,True,Native,103542.53,380.67,Draw - Term More than 1 year,25.0,The production details,40.0,,,2000.0
Melissa Boyd,vdalton@example.com,"Houston, TX",General Dentist,Private Practice,DMD,22,Temporary,Medium,Rural,False,Native,100528.14,369.59,Draw - Term More than 1 year,20.0,,10.0,The collection details,,4000.0
Joshua Young,mooreryan@example.net,"New York, NY",Periodontist,Private Practice,DMD with Specialization,22,Part-time,Large,Rural,True,Basic,120070.36,441.44,Draw - Term More than 1 year,20.0,,25.0,,10000.0,
Timothy Mcmillan,pbutler@example.net,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,10,Temporary,Medium,Rural,True,Native,97587.72,358.78,Guaranteed,30.0,The production details,50.0,,,4000.0
Lori Mccoy,sandersen@example.org,"New York, NY",Orthodontist,DSO,DDS with Specialization,22,Contract,Medium,Urban,True,Proficient,95593.71,351.45,Draw - Term Less than 1 year,,The production details,10.0,,,
Aaron Harvey,donna19@example.org,"Los Angeles, CA",Orthodontist,DSO,DMD with Specialization,12,Contract,Medium,Rural,False,Native,80689.31,296.65,Draw - Term More than 1 year,50.0,,15.0,,15000.0,2000.0
Miranda Dorsey,dale53@example.net,"Phoenix, AZ",Periodontist,DSO,DMD,27,Full-time,Small,Rural,True,Proficient,144214.24,530.2,Draw - Term More than 1 year,,,50.0,The collection details,15000.0,
John Beard,ahughes@example.net,"Phoenix, AZ",Orthodontist,DSO,DMD,27,Part-time,Small,Rural,False,Fluent,93492.53,343.72,Guaranteed,,The production details,30.0,,15000.0,2000.0
Danny Morris,kmalone@example.net,"Phoenix, AZ",Endodontist,Private Practice,DMD with Specialization,26,Temporary,Medium,Urban,True,Native,119949.89,440.99,Guaranteed,,,,,5000.0,2000.0
Lauren Spencer,jcisneros@example.com,"Chicago, IL",Orthodontist,Private Practice,DMD,5,Full-time,Large,Urban,True,Basic,123171.31,452.84,Draw - Term Less than 1 year,30.0,,50.0,The collection details,,2000.0
Linda Lam,tammy82@example.com,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,29,Part-time,Medium,Rural,True,Basic,116381.5,427.87,Draw,,The production details,50.0,The collection details,10000.0,6000.0
Marie Daniels,lauren21@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DDS,5,Temporary,Small,Rural,True,Proficient,136443.58,501.63,Guaranteed,40.0,,,,15000.0,4000.0
William Oliver,slynch@example.org,"Chicago, IL",Orthodontist,Private Practice,DMD with Specialization,4,Full-time,Medium,Urban,False,Proficient,112620.59,414.05,Guaranteed,30.0,,40.0,The collection details,5000.0,2000.0
Jennifer Anderson,barryjohn@example.com,"Phoenix, AZ",Pedodontist,DSO,DDS with Specialization,9,Contract,Medium,Rural,True,Basic,84242.34,309.71,Draw,30.0,,20.0,,10000.0,4000.0
Ashley Rice,greenejohn@example.com,"Houston, TX",Orthodontist,DSO,DDS,7,Full-time,Large,Rural,False,Fluent,149157.48,548.37,Draw - Term Less than 1 year,40.0,,50.0,,,
Amy Randall,kaitlyn80@example.net,"New York, NY",General Dentist,Private Practice,DMD,0,Full-time,Small,Urban,True,Proficient,106537.8,391.68,Draw,,The production details,,The collection details,10000.0,2000.0
Robert Edwards,radams@example.net,"New York, NY",General Dentist,DSO,DDS with Specialization,12,Full-time,Medium,Rural,False,Native,88415.26,325.06,Draw,40.0,,,The collection details,,6000.0
Katherine Duncan,micheal75@example.com,"New York, NY",Periodontist,Private Practice,DMD,19,Temporary,Large,Urban,False,Basic,110539.1,406.39,Draw,30.0,The production details,25.0,The collection details,,6000.0
Keith Hernandez,brianna70@example.org,"Chicago, IL",Endodontist,Private Practice,DMD with Specialization,1,Contract,Small,Rural,False,Basic,91586.35,336.71,Draw - Term More than 1 year,10.0,,,,5000.0,
William Knight,tanyarodriguez@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS with Specialization,25,Temporary,Small,Rural,False,Proficient,86954.99,319.69,Draw - Term Less than 1 year,,,20.0,The collection details,,4000.0
Paul Howard,xrodriguez@example.org,"New York, NY",Pedodontist,DSO,DMD,0,Part-time,Large,Rural,False,Native,104915.76,385.72,Draw - Term More than 1 year,50.0,,10.0,,5000.0,
Bonnie Warner,jonesjulie@example.net,"Chicago, IL",Pedodontist,Private Practice,DDS,30,Part-time,Small,Urban,False,Proficient,119278.71,438.52,Draw,,,20.0,,,
Rodney Washington,thoward@example.org,"New York, NY",Endodontist,DSO,DMD with Specialization,16,Part-time,Large,Rural,False,Native,89917.72,330.58,Draw - Term Less than 1 year,25.0,,,,15000.0,2000.0
Dr. Connie Newton,umccarthy@example.net,"Los Angeles, CA",Pedodontist,Private Practice,DMD,1,Full-time,Medium,Rural,True,Basic,86532.45,318.13,Draw,25.0,,15.0,,10000.0,2000.0
Bradley Payne,bcollins@example.net,"Houston, TX",Orthodontist,DSO,DMD,6,Contract,Medium,Rural,True,Native,111446.31,409.73,Draw - Term Less than 1 year,40.0,,15.0,,,4000.0
Tina Schmitt,jhansen@example.org,"Los Angeles, CA",General Dentist,Private Practice,DDS,26,Full-time,Small,Urban,True,Fluent,103724.81,381.34,Draw - Term More than 1 year,40.0,The production details,,,10000.0,6000.0
Timothy Roberts,catherine76@example.org,"New York, NY",Endodontist,DSO,DMD with Specialization,8,Contract,Small,Rural,False,Native,96878.6,356.17,Draw - Term Less than 1 year,15.0,The production details,25.0,,5000.0,2000.0
Chloe Walker,brandonhenry@example.com,"Chicago, IL",Endodontist,DSO,DMD with Specialization,29,Temporary,Large,Rural,True,Native,130791.18,480.85,Draw - Term Less than 1 year,,,30.0,,15000.0,4000.0
Austin Payne,brownzachary@example.org,"Phoenix, AZ",General Dentist,Private Practice,DDS,3,Full-time,Large,Rural,True,Native,146905.37,540.09,Draw,25.0,,25.0,,15000.0,2000.0
Christopher Jones,lukecarroll@example.net,"New York, NY",General Dentist,DSO,DMD,28,Full-time,Medium,Urban,False,Fluent,102285.57,376.05,Guaranteed,50.0,,,,10000.0,
Kenneth Jacobs,ashley41@example.net,"Houston, TX",Periodontist,Private Practice,DDS,8,Part-time,Large,Urban,False,Fluent,95386.22,350.68,Draw,,,15.0,,10000.0,2000.0
Christopher Olson,stewartjoseph@example.com,"New York, NY",Pedodontist,DSO,DDS with Specialization,16,Full-time,Large,Urban,True,Basic,139484.82,512.81,Guaranteed,15.0,The production details,20.0,,5000.0,
Jodi Richardson,garcianicole@example.net,"Chicago, IL",Orthodontist,DSO,DDS,0,Contract,Medium,Rural,False,Proficient,83614.22,307.41,Draw,20.0,,50.0,,,4000.0
Lydia Deleon,kenneth11@example.com,"Houston, TX",Endodontist,Private Practice,DDS with Specialization,12,Temporary,Large,Urban,True,Proficient,105567.13,388.11,Draw - Term More than 1 year,20.0,,10.0,The collection details,10000.0,2000.0
Samantha Ramirez,hernandezalexandra@example.net,"Chicago, IL",Endodontist,Private Practice,DMD,28,Full-time,Small,Urban,True,Basic,108295.22,398.14,Guaranteed,,,15.0,,10000.0,4000.0
Shaun Hines,jeffreyjones@example.net,"New York, NY",General Dentist,Private Practice,DMD with Specialization,27,Contract,Small,Urban,True,Native,106688.05,392.24,Draw,20.0,The production details,50.0,,10000.0,
Steven Ward,judithwilliams@example.com,"Phoenix, AZ",Pedodontist,DSO,DMD,22,Full-time,Large,Urban,False,Proficient,83068.4,305.4,Guaranteed,,,50.0,,,
Matthew Brown,eddie37@example.org,"Houston, TX",General Dentist,Private Practice,DMD with Specialization,12,Full-time,Small,Urban,True,Proficient,92751.93,341.0,Draw - Term More than 1 year,25.0,,50.0,,15000.0,4000.0
Melody Robinson,gfields@example.net,"Chicago, IL",Pedodontist,Private Practice,DMD,13,Temporary,Medium,Rural,False,Fluent,114602.39,421.33,Draw - Term Less than 1 year,,,40.0,The collection details,5000.0,4000.0
William Garcia,newmanvanessa@example.com,"Chicago, IL",Endodontist,DSO,DDS,24,Full-time,Medium,Rural,True,Native,105374.67,387.41,Draw,25.0,,10.0,,5000.0,2000.0
James Reid,andrewsmaurice@example.com,"Houston, TX",Orthodontist,DSO,DMD,26,Full-time,Medium,Rural,False,Native,115715.44,425.42,Draw - Term Less than 1 year,,The production details,,,10000.0,6000.0
Gregory Johnson,tcummings@example.net,"Los Angeles, CA",Periodontist,Private Practice,DMD,28,Full-time,Large,Rural,True,Native,127901.86,470.23,Draw - Term Less than 1 year,30.0,,50.0,The collection details,5000.0,4000.0
Pamela Callahan,brian76@example.net,"Los Angeles, CA",Periodontist,DSO,DDS with Specialization,23,Temporary,Large,Rural,False,Fluent,142914.28,525.42,Guaranteed,30.0,The production details,,,5000.0,2000.0
Shirley Roberts MD,justinsmith@example.net,"Chicago, IL",Orthodontist,Private Practice,DDS with Specialization,8,Part-time,Medium,Rural,False,Basic,108785.49,399.95,Guaranteed,10.0,,,,,4000.0
Regina Flores,david30@example.net,"Los Angeles, CA",Periodontist,DSO,DMD,25,Contract,Small,Rural,False,Basic,139611.79,513.28,Draw,30.0,,,,10000.0,6000.0
Ann Rocha,maldonadokathy@example.org,"Los Angeles, CA",Periodontist,Private Practice,DMD,26,Contract,Small,Rural,False,Proficient,89259.41,328.16,Draw - Term More than 1 year,20.0,,,The collection details,5000.0,2000.0
Jill Lee,victoriamoore@example.net,"Phoenix, AZ",Periodontist,DSO,DDS,29,Part-time,Medium,Urban,False,Basic,104685.36,384.87,Draw - Term More than 1 year,15.0,,,,5000.0,2000.0
Austin Lopez,timothywilliams@example.org,"Los Angeles, CA",Orthodontist,Private Practice,DMD,26,Contract,Small,Urban,True,Basic,112479.88,413.53,Guaranteed,15.0,,30.0,,5000.0,2000.0
Sierra Castillo,palmerjoshua@example.org,"New York, NY",General Dentist,Private Practice,DMD,27,Temporary,Large,Urban,False,Proficient,84052.72,309.02,Draw,20.0,The production details,25.0,The collection details,,6000.0
Miss Tanya Wilson,mlittle@example.com,"Chicago, IL",Endodontist,DSO,DMD with Specialization,26,Contract,Medium,Urban,True,Native,90208.63,331.65,Guaranteed,50.0,,40.0,,10000.0,6000.0
Taylor Mcguire,tinamiller@example.org,"Chicago, IL",Endodontist,DSO,DMD with Specialization,9,Part-time,Medium,Urban,True,Native,118196.82,434.55,Draw,25.0,The production details,,,15000.0,6000.0
Patrick Williams,langjoseph@example.com,"Chicago, IL",Endodontist,Private Practice,DDS with Specialization,7,Part-time,Medium,Urban,True,Fluent,116109.57,426.87,Draw,,,40.0,,15000.0,2000.0
Randy Smith,rebeccasingleton@example.com,"Chicago, IL",Pedodontist,DSO,DDS with Specialization,15,Contract,Medium,Urban,True,Basic,130691.24,480.48,Draw,40.0,The production details,10.0,The collection details,5000.0,4000.0
Anthony Gomez,dawn79@example.org,"Houston, TX",Endodontist,DSO,DDS,1,Temporary,Medium,Rural,True,Fluent,99107.1,364.36,Draw,40.0,,25.0,,,2000.0
Jennifer Wilson,nolsen@example.net,"Chicago, IL",Orthodontist,DSO,DDS,13,Part-time,Medium,Urban,True,Proficient,95464.86,350.97,Draw - Term More than 1 year,,,25.0,,15000.0,6000.0
Tammie Gould,adam79@example.org,"Phoenix, AZ",General Dentist,DSO,DMD,26,Temporary,Large,Urban,True,Fluent,100975.16,371.23,Guaranteed,,,,,5000.0,2000.0
Dominic Baldwin,sampsongeorge@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS,17,Temporary,Large,Urban,False,Native,135808.02,499.29,Draw - Term Less than 1 year,15.0,,,The collection details,15000.0,2000.0
Amber Hodge,stephaniemoore@example.com,"Houston, TX",General Dentist,DSO,DDS,18,Full-time,Small,Urban,True,Fluent,132224.82,486.12,Draw - Term More than 1 year,10.0,The production details,30.0,,5000.0,4000.0
Amber Mathis,amandawatson@example.com,"Chicago, IL",Endodontist,Private Practice,DDS with Specialization,1,Full-time,Large,Urban,True,Fluent,120363.03,442.51,Guaranteed,15.0,The production details,,,15000.0,
Casey Lopez,elizabethperez@example.com,"Phoenix, AZ",Endodontist,Private Practice,DDS with Specialization,3,Temporary,Medium,Rural,True,Proficient,112496.9,413.59,Draw - Term Less than 1 year,,,10.0,,5000.0,6000.0
Chloe Thomas,bhayes@example.com,"Los Angeles, CA",Orthodontist,DSO,DDS,13,Temporary,Large,Rural,False,Proficient,116850.13,429.6,Guaranteed,20.0,The production details,,,15000.0,6000.0
